78,,,1973,,,CHN,,大尾立立立, ,,,大尾立立立, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
79,,,1973,,,ESP,,Motote, ,,,Motote, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
80,,,1973,,,JPN,,ミササギ, ,,,ミササギ, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
81,,,1972,,,JPN,,あたりめ, ,,,あたりめ, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
82,,,1972,,,ENG,f,Lauren, ,,,Lauren, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
83,,,1971,,,ENG,f,NoProblem, ,,,NoProblem, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
84,,,1971,,,CHN,,喵喵, ,,,喵喵, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
85,,,1969,,,JPN,,バイザー, ,,,バイザー, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
86,,,1969,,,FRA,,Erizabeth,Erizabeth,,,Érizabeth,RoicVKR9pyMvtHc,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/RoicVKR9pyMvtHc/status/1686253509673717760?s=20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
87,,,1968,,,JPN,,RiPoP, ,,,RiPoP, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
88,,,1968,,,JPN,,あだちさくら, ,,,あだちさくら, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
89,,,1968,,,JPN,,スカーレット, ,,,スカーレット, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
90,,,1967,,,JPN,,tomo, ,,,tomo, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
91,,,1967,,,JPN,,HIKARI, ,,,HIKARI, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
92,,,1967,,,JPN,,スカーレット, ,,,スカーレット, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
93,,,1966,,,JPN,,ナンス, ,,,ナンス, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
94,,,1965,,,CHN,,也许, ,,,也许, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
95,,,1964,,,ITA,,marcofiero,Marco Silva,,,marcofiero,marc0fier0,Link,https://twitter.com/Link,,,Assault Vest,,,Flame Orb,,,Focus Sash,,,Mental Herb,,,Booster Energy,,,Choice Band,,,,,,,https://twitter.com/marc0fier0/status/1686118723139018752?s=20,,,,Dragonite,Urshifu,Flutter Mane,Iron Hands,Cresselia,Ursaluna,,Choice Band,Focus Sash,Booster Energy,Assault Vest,Mental Herb,Flame Orb,,Dragon,Fighting,Ghost,Fighting,Psychic,Ground,Dragon,Fighting,Ghost,Fighting,Psychic,Ground,9 Dragonite,4 Urshifu,8 Flutter Mane,4 Iron Hands,6 Cresselia,4 Ursaluna,4 Iron Hands,4 Ursaluna,4 Urshifu,6 Cresselia,8 Flutter Mane,9 Dragonite,Iron Hands,Fighting,Assault Vest,Ursaluna,Ground,Flame Orb,Urshifu,Fighting,Focus Sash,Cresselia,Psychic,Mental Herb,Flutter Mane,Ghost,Booster Energy,Dragonite,Dragon,Choice Band,,,,,,,,,Iron Hands,Ursaluna,Urshifu,Cresselia,Flutter Mane,Dragonite,,"Dragonite, Urshifu, Flutter Mane, Iron Hands, Cresselia, Ursaluna"
96,,,1964,,,JPN,,クロマ, ,,,クロマ, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
97,,,1964,,,ENG,,Tucu, ,,,Tucu, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
98,,,1964,,,JPN,,スカーレット, ,,,スカーレット, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
99,,,1963,,,CHN,,大穆1211, ,,,大穆1211, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
100,,,1963,,,JPN,,どらぽけ, ,,,どらぽけ, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
