44,#44,,7 - 3,7,3,USA,,Nathan Ortiz,Nathan Ortiz,,,Kortex,KortexVGC,KortexVGC,https://twitter.com/KortexVGC,,,Life Orb,,,Lum Berry,,,Choice Specs,,,Sitrus Berry,,,Psychic Seed,,,Safety Goggles,50,-,View,https://pokepast.es/426d36bd5ef5e03d,No EVs,-,https://twitter.com/KortexVGC/status/1623022702138376193,Stream Round 7 (L),Ax: Guatemala for VR (played '21 WCOP),,Iron Hands,Maushold,Tatsugiri-Stretchy,Indeedee-F,Dondozo,Armarouge,,Sitrus Berry,Safety Goggles,Choice Specs,Psychic Seed,Lum Berry,Life Orb,,Grass,Ghost,Steel,Fairy,Steel,Grass,Grass,Ghost,Steel,Fairy,Steel,Grass,4 Iron Hands,5 Maushold,1 Tatsugiri-Stretchy,5 Indeedee-F,1 Dondozo,0 Armarouge,0 Armarouge,1 Dondozo,1 Tatsugiri-Stretchy,4 Iron Hands,5 Indeedee-F,5 Maushold,Armarouge,Grass,Life Orb,Dondozo,Steel,Lum Berry,Tatsugiri-Stretchy,Steel,Choice Specs,Iron Hands,Grass,Sitrus Berry,Indeedee-F,Fairy,Psychic Seed,Maushold,Ghost,Safety Goggles,,,,,,,,,Armarouge,Dondozo,Tatsugiri-Stretchy,Iron Hands,Indeedee-F,Maushold,,"Iron Hands, Maushold, Tatsugiri-Stretchy, Indeedee-F (Indeedee-Female), Dondozo, Armarouge",,Rafael Heredia,137,Luis Heredia,129,Rayad Khan,91,Aditya Subramanian,30,Collin Heier,17,James Evans,2,Emilio Forbes,5,Austin Forcinito,15,Denis Espinoza,17,Jake Rosen,90
45,#45,,7 - 3,7,3,USA,,Adrien Hurley,Adrien Hurley,,,ColdingLight,coldinglight,coldinglight,https://twitter.com/coldinglight,,,Life Orb,,,Lum Berry,,,Choice Specs,,,Sitrus Berry,,,Psychic Seed,,,Safety Goggles,50,-,View,https://pokepast.es/564be9ea377b795f,,,,,,,Armarouge,Indeedee-F,Dondozo,Maushold,Iron Hands,Tatsugiri-Stretchy,,Life Orb,Psychic Seed,Lum Berry,Safety Goggles,Sitrus Berry,Choice Specs,,Grass,Fairy,Steel,Ghost,Grass,Steel,Grass,Fairy,Steel,Ghost,Grass,Steel,0 Armarouge,5 Indeedee-F,1 Dondozo,5 Maushold,4 Iron Hands,1 Tatsugiri-Stretchy,0 Armarouge,1 Dondozo,1 Tatsugiri-Stretchy,4 Iron Hands,5 Indeedee-F,5 Maushold,Armarouge,Grass,Life Orb,Dondozo,Steel,Lum Berry,Tatsugiri-Stretchy,Steel,Choice Specs,Iron Hands,Grass,Sitrus Berry,Indeedee-F,Fairy,Psychic Seed,Maushold,Ghost,Safety Goggles,,,,,,,,,Armarouge,Dondozo,Tatsugiri-Stretchy,Iron Hands,Indeedee-F,Maushold,,"Armarouge, Indeedee-F (Indeedee-Female), Dondozo, Maushold, Iron Hands, Tatsugiri-Stretchy",,Meghan Hyman,125,Ian Roberts,15,Denis Espinoza,44,Stefan Mott,35,Brandon Tuchtenhagen,18,John Mills,3,Kyle Livinghouse,3,Zackary Thornberg,4,Sohaib Mufti,22,Zachary Liekweg,70
46,#46,,7 - 3,7,3,USA,,Jonathan Quiñones,Jonathan Quiñones,,,Pocha,PochaVGC,PochaVGC,https://twitter.com/PochaVGC,,,Covert Cloak,,,Wiki Berry,,,Leftovers,,,Assault Vest,,,Psychic Seed,,,Sitrus Berry,50,-,View,https://pokepast.es/32f4e038dca53cbc,,,,,Ax: Puerto Rico for VR (played all WCOP),,Amoonguss,Indeedee-F,Iron Hands,Armarouge,Maushold,Annihilape,,Wiki Berry,Psychic Seed,Assault Vest,Covert Cloak,Sitrus Berry,Leftovers,,Dark,Grass,Fire,Grass,Ghost,Fire,Dark,Grass,Fire,Grass,Ghost,Fire,2 Amoonguss,5 Indeedee-F,4 Iron Hands,0 Armarouge,5 Maushold,4 Annihilape,0 Armarouge,2 Amoonguss,4 Annihilape,4 Iron Hands,5 Indeedee-F,5 Maushold,Armarouge,Grass,Covert Cloak,Amoonguss,Dark,Wiki Berry,Annihilape,Fire,Leftovers,Iron Hands,Fire,Assault Vest,Indeedee-F,Grass,Psychic Seed,Maushold,Ghost,Sitrus Berry,,,,,,,,,Armarouge,Amoonguss,Annihilape,Iron Hands,Indeedee-F,Maushold,,"Amoonguss, Indeedee-F (Indeedee-Female), Iron Hands, Armarouge, Maushold, Annihilape",,Mario Konja,169,Sel Benitez,46,Trevor Winsler,53,Max Gelman,33,Toler Webb,22,Rayad Khan,72,Michael Spinetta-McCarthy,8,George Tifverman,21,Brent Caughey,42,James Evans,28
47,#47,,7 - 3,7,3,USA,,Justin Burns,Justin Burns,,,Justin,JustMrBurns,JustMrBurns,https://twitter.com/JustMrBurns,,,Safety Goggles,,,Booster Energy,,,Sitrus Berry,,,Clear Amulet,,,Leftovers,,,Focus Sash,50,-,View,https://pokepast.es/00a243486434470c,https://media.discordapp.net/attachments/1041626109680295966/1073700289040896010/Orlando_Aditya_Subramanian_Nick_Navarre_FG6SWV.jpg,https://youtu.be/AtpuZTzUPwQ,,,,,Flutter Mane,Amoonguss,Iron Hands,Gothitelle,Arcanine,Iron Bundle,,Focus Sash,Sitrus Berry,Clear Amulet,Leftovers,Safety Goggles,Booster Energy,,Ghost,Water,Fire,Steel,Dark,Water,Ghost,Water,Fire,Steel,Dark,Water,8 Flutter Mane,2 Amoonguss,4 Iron Hands,6 Gothitelle,0 Arcanine,1 Iron Bundle,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Iron Hands,6 Gothitelle,8 Flutter Mane,Arcanine,Dark,Safety Goggles,Iron Bundle,Water,Booster Energy,Amoonguss,Water,Sitrus Berry,Iron Hands,Fire,Clear Amulet,Gothitelle,Steel,Leftovers,Flutter Mane,Ghost,Focus Sash,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Iron Hands,Gothitelle,Flutter Mane,,"Flutter Mane, Amoonguss, Iron Hands, Gothitelle, Arcanine, Iron Bundle",,George Tifverman,343,Richard Ashby,355,Austin Litofsky,236,Patrick Donegan,166,Michael Zhang,92,Stefan Mott,21,Jack Kufa,15,Philip Wesley,10,Ian McLaughlin,5,Max Gelman,9
48,#48,,7 - 3,7,3,USA,,Michael Spinetta-McCarthy,Michael Spinetta-McCarthy,,,BIG MIKE,GAZ_BIGMIKEOG,GAZ_BIGMIKEOG,https://twitter.com/GAZ_BIGMIKEOG,,,Safety Goggles,,,Booster Energy,,,Covert Cloak,,,Black Glasses,,,Focus Sash,,,Choice Band,50,-,View,https://pokepast.es/f2f14c51ea26f1eb,,,,,,,Iron Bundle,Flutter Mane,Arcanine,Dragonite,Amoonguss,Kingambit,,Booster Energy,Focus Sash,Safety Goggles,Choice Band,Covert Cloak,Black Glasses,,Water,Fairy,Water,Flying,Water,Dark,Water,Fairy,Water,Flying,Water,Dark,1 Iron Bundle,8 Flutter Mane,0 Arcanine,9 Dragonite,2 Amoonguss,7 Kingambit,0 Arcanine,1 Iron Bundle,2 Amoonguss,7 Kingambit,8 Flutter Mane,9 Dragonite,Arcanine,Water,Safety Goggles,Iron Bundle,Water,Booster Energy,Amoonguss,Water,Covert Cloak,Kingambit,Dark,Black Glasses,Flutter Mane,Fairy,Focus Sash,Dragonite,Flying,Choice Band,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Kingambit,Flutter Mane,Dragonite,,"Iron Bundle, Flutter Mane, Arcanine, Dragonite, Amoonguss, Kingambit",,Jon Fonseca,196,Ryan Haag,22,Luis Diaz,9,Zach Carlson,50,Sergio Mojica,5,Yichun Wu,12,Jonathan Quiñones,8,Jeremy Parson,66,Ryne Conley,32,Brady Smith,14
49,#49,,7 - 3,7,3,USA,,Foster Hughes,Foster Hughes,,,Step On ‘Em,bnanasfoster,bnanasfoster,https://twitter.com/bnanasfoster,,,Covert Cloak,,,Leftovers,,,Assault Vest,,,Booster Energy,,,Life Orb,,,Focus Sash,50,-,View,https://pokepast.es/fc1a96000f177102,,,,,,,Garganacl,Slither Wing,Flutter Mane,Iron Hands,Iron Jugulis,Iron Bundle,,Leftovers,Life Orb,Focus Sash,Assault Vest,Booster Energy,Covert Cloak,,Electric,Bug,Normal,Fire,Ground,Grass,Electric,Bug,Normal,Fire,Ground,Grass,4 Garganacl,4 Slither Wing,8 Flutter Mane,4 Iron Hands,4 Iron Jugulis,1 Iron Bundle,1 Iron Bundle,4 Garganacl,4 Iron Hands,4 Iron Jugulis,4 Slither Wing,8 Flutter Mane,Iron Bundle,Grass,Covert Cloak,Garganacl,Electric,Leftovers,Iron Hands,Fire,Assault Vest,Iron Jugulis,Ground,Booster Energy,Slither Wing,Bug,Life Orb,Flutter Mane,Normal,Focus Sash,,,,,,,,,Iron Bundle,Garganacl,Iron Hands,Iron Jugulis,Slither Wing,Flutter Mane,,"Garganacl, Slither Wing, Flutter Mane, Iron Hands, Iron Jugulis, Iron Bundle",,Devin Johnson,183,Michael D'Angelo,179,Michael Arand,32,Jered Hunn,28,Yichun Wu,3,Daniel A Fontes,73,Ashton Cox,9,Zach Carlson,46,Mohammed Faizan,47,Michael Busse,48
50,#50,,7 - 3,7,3,USA,,Logan Phillips,Logan Phillips,,,Logan,No Twitter,No Twitter,https://twitter.com/No Twitter,,,Safety Goggles,,,Covert Cloak,,,Rocky Helmet,,,Assault Vest,,,Light Clay,,,Loaded Dice,50,-,View,https://pokepast.es/52f9419adc0d6338,,,,,info from Embracing,,Amoonguss,Gastrodon,Arcanine,Grimmsnarl,Baxcalibur,Iron Hands,,Rocky Helmet,Covert Cloak,Safety Goggles,Light Clay,Loaded Dice,Assault Vest,,Water,Fairy,Fire,Ghost,Fire,Flying,Water,Fairy,Fire,Ghost,Fire,Flying,2 Amoonguss,1 Gastrodon,0 Arcanine,8 Grimmsnarl,9 Baxcalibur,4 Iron Hands,0 Arcanine,1 Gastrodon,2 Amoonguss,4 Iron Hands,8 Grimmsnarl,9 Baxcalibur,Arcanine,Fire,Safety Goggles,Gastrodon,Fairy,Covert Cloak,Amoonguss,Water,Rocky Helmet,Iron Hands,Flying,Assault Vest,Grimmsnarl,Ghost,Light Clay,Baxcalibur,Fire,Loaded Dice,,,,,,,,,Arcanine,Gastrodon,Amoonguss,Iron Hands,Grimmsnarl,Baxcalibur,,"Amoonguss, Gastrodon, Arcanine, Grimmsnarl, Baxcalibur, Iron Hands",,Chris Jenkins,9,Nawal Al Tanbour,167,Brent Caughey,30,Sebastian Guerrero,27,Lucien Lamoureaux,98,Andrew Jenkins,24,Aditya Subramanian,18,Kevin Li,33,Jered Hunn,38,Kyle Livinghouse,16
51,#51,,7 - 3,7,3,CHN,,Peng Chongjun,Chongjun Peng,,,伊藤峻峻,ChongjunVGC,ChongjunVGC,https://twitter.com/ChongjunVGC,,,Sitrus Berry,,,Leftovers,,,Choice Scarf,,,Loaded Dice,,,Assault Vest,,,Focus Sash,50,-,View,https://pokepast.es/bd2f43d669aa779b,,,,Stream Round 4 (W),,,Kingambit,Dondozo,Tatsugiri,Brute Bonnet,Volcarona,Flutter Mane,,Assault Vest,Leftovers,Choice Scarf,Loaded Dice,Sitrus Berry,Focus Sash,,Fairy,Steel,Fire,Poison,Water,Fairy,Fairy,Steel,Fire,Poison,Water,Fairy,7 Kingambit,1 Dondozo,1 Tatsugiri,2 Brute Bonnet,0 Volcarona,8 Flutter Mane,0 Volcarona,1 Dondozo,1 Tatsugiri,2 Brute Bonnet,7 Kingambit,8 Flutter Mane,Volcarona,Water,Sitrus Berry,Dondozo,Steel,Leftovers,Tatsugiri,Fire,Choice Scarf,Brute Bonnet,Poison,Loaded Dice,Kingambit,Fairy,Assault Vest,Flutter Mane,Fairy,Focus Sash,,,,,,,,,Volcarona,Dondozo,Tatsugiri,Brute Bonnet,Kingambit,Flutter Mane,,"Kingambit, Dondozo, Tatsugiri, Brute Bonnet, Volcarona, Flutter Mane",,Nicholas Gonzales-Portillo,187,Aaron Riker,154,Jake Rosen,86,Wolfe Glick,42,Brian Collins,12,Allan Martinez,4,George Tifverman,14,James Evans,71,Don Czech,119,Jeremy Gross,83
52,#52,,7 - 3,7,3,USA,,Sebastian Guerrero,Sebastian Guerrero,,,sebas♪,EmbracingVGC,EmbracingVGC,https://twitter.com/EmbracingVGC,,,Sitrus Berry,,,Safety Goggles,,,Assault Vest,,,Throat Spray,,,Covert Cloak,,,Booster Energy,50,-,View,https://pokepast.es/432f658244017010,,,https://twitter.com/EmbracingVGC/status/1622079606869082114,,,,Great Tusk,Armarouge,Iron Hands,Farigiraf,Scream Tail,Gholdengo,,Safety Goggles,Sitrus Berry,Assault Vest,Throat Spray,Booster Energy,Covert Cloak,,Fire,Grass,Grass,Normal,Grass,Water,Fire,Grass,Grass,Normal,Grass,Water,4 Great Tusk,0 Armarouge,4 Iron Hands,6 Farigiraf,8 Scream Tail,7 Gholdengo,0 Armarouge,4 Great Tusk,4 Iron Hands,6 Farigiraf,7 Gholdengo,8 Scream Tail,Armarouge,Grass,Sitrus Berry,Great Tusk,Fire,Safety Goggles,Iron Hands,Grass,Assault Vest,Farigiraf,Normal,Throat Spray,Gholdengo,Water,Covert Cloak,Scream Tail,Grass,Booster Energy,,,,,,,,,Armarouge,Great Tusk,Iron Hands,Farigiraf,Gholdengo,Scream Tail,,"Great Tusk, Armarouge, Iron Hands, Farigiraf, Scream Tail, Gholdengo",,Brandon Courson,357,EMMANUEL CRUZ,147,Olivia Maney,77,Logan Phillips,27,Brendan Zheng,2,Paul Chua,10,Toler Webb,1,ALEX UNDERHILL,6,Donald Smith,44,Cade Bowles,30
53,#53,,7 - 3,7,3,USA,,Giovanni Cischke,Giovanni Cischke,,,PqlarBear,PqlarBear,PqlarBear,https://twitter.com/PqlarBear,,,Safety Goggles,,,Eject Button,,,Assault Vest,,,Sitrus Berry,,,Focus Sash,,,Booster Energy,50,-,View,https://pokepast.es/fe7e1976be2f22e8,,,,,,,Roaring Moon,Gothitelle,Amoonguss,Flutter Mane,Iron Hands,Arcanine,,Booster Energy,Sitrus Berry,Eject Button,Focus Sash,Assault Vest,Safety Goggles,,Flying,Steel,Dark,Ghost,Grass,Dark,Flying,Steel,Dark,Ghost,Grass,Dark,9 Roaring Moon,6 Gothitelle,2 Amoonguss,8 Flutter Mane,4 Iron Hands,0 Arcanine,0 Arcanine,2 Amoonguss,4 Iron Hands,6 Gothitelle,8 Flutter Mane,9 Roaring Moon,Arcanine,Dark,Safety Goggles,Amoonguss,Dark,Eject Button,Iron Hands,Grass,Assault Vest,Gothitelle,Steel,Sitrus Berry,Flutter Mane,Ghost,Focus Sash,Roaring Moon,Flying,Booster Energy,,,,,,,,,Arcanine,Amoonguss,Iron Hands,Gothitelle,Flutter Mane,Roaring Moon,,"Roaring Moon, Gothitelle, Amoonguss, Flutter Mane, Iron Hands, Arcanine",,Ammar Zahid,304,Adrian Granados,3,Darsh Patel,95,Sohaib Mufti,36,Emilio Forbes,14,Zach Holowiak,33,Andrew Johnson,42,Christian Ramirez,47,Scott Hartigan,74,Collin Hand,66
54,#54,,7 - 3,7,3,USA,,James Baek,James Baek,,,SoulUnison,JamesWBaek,JamesWBaek,https://twitter.com/JamesWBaek,,,Covert Cloak,,,Leftovers,,,Focus Sash,,,Loaded Dice,,,Booster Energy,,,Life Orb,50,-,View,https://pokepast.es/b1e1dc84475d1593,,,,Stream Round 6 (L),,,Sandy Shocks,Gholdengo,Talonflame,Brute Bonnet,Tatsugiri,Dondozo,,Booster Energy,Life Orb,Covert Cloak,Loaded Dice,Focus Sash,Leftovers,,Flying,Steel,Ghost,Fairy,Water,Steel,Flying,Steel,Ghost,Fairy,Water,Steel,3 Sandy Shocks,7 Gholdengo,0 Talonflame,2 Brute Bonnet,1 Tatsugiri,1 Dondozo,0 Talonflame,1 Dondozo,1 Tatsugiri,2 Brute Bonnet,3 Sandy Shocks,7 Gholdengo,Talonflame,Ghost,Covert Cloak,Dondozo,Steel,Leftovers,Tatsugiri,Water,Focus Sash,Brute Bonnet,Fairy,Loaded Dice,Sandy Shocks,Flying,Booster Energy,Gholdengo,Steel,Life Orb,,,,,,,,,Talonflame,Dondozo,Tatsugiri,Brute Bonnet,Sandy Shocks,Gholdengo,,"Sandy Shocks, Gholdengo, Talonflame, Brute Bonnet, Tatsugiri, Dondozo",,Chris Siafakas,113,Abraham Orta,67,Benji Carney,40,James Flanagan,9,Aaron Clemons,1,Toler Webb,11,Alberto Lara,21,Nate Engstrom,29,Sergio Mojica,50,Shiliang Tang,19
55,#55,,7 - 3,7,3,PER,,Diego Gutierrez,Diego Gutierrez,,,Zero,DiegoGutiVGC,DiegoGutiVGC,https://twitter.com/DiegoGutiVGC,,,Assault Vest,,,Sitrus Berry,,,Leftovers,,,Covert Cloak,,,Focus Sash,,,Choice Band,50,-,View,https://pokepast.es/cfa8de773ac04a30,,,,,,,Dragonite,Arcanine,Gholdengo,Flutter Mane,Brute Bonnet,Rotom-Wash,,Choice Band,Assault Vest,Covert Cloak,Focus Sash,Leftovers,Sitrus Berry,,Normal,Grass,Water,Fairy,Poison,Electric,Normal,Grass,Water,Fairy,Poison,Electric,9 Dragonite,0 Arcanine,7 Gholdengo,8 Flutter Mane,2 Brute Bonnet,1 Rotom-Wash,0 Arcanine,1 Rotom-Wash,2 Brute Bonnet,7 Gholdengo,8 Flutter Mane,9 Dragonite,Arcanine,Grass,Assault Vest,Rotom-Wash,Electric,Sitrus Berry,Brute Bonnet,Poison,Leftovers,Gholdengo,Water,Covert Cloak,Flutter Mane,Fairy,Focus Sash,Dragonite,Normal,Choice Band,,,,,,,,,Arcanine,Rotom-Wash,Brute Bonnet,Gholdengo,Flutter Mane,Dragonite,,"Dragonite, Arcanine, Gholdengo, Flutter Mane, Brute Bonnet, Rotom-Wash",,Brendan Haggerty,337,Hazanni Cayetano,131,Isaac Ishak,27,Jack Kufa,6,David Mancuso,6,Landon Morjal,7,ARSAL PURI,2,Bhushan Thumsi,3,Emilio Forbes,2,Brian Collins,33
56,#56,,7 - 3,7,3,USA,,Zach Holowiak,Zach Holowiak,,,Zach,Snaf269,Snaf269,https://twitter.com/Snaf269,,,Weakness Policy,,,Leftovers,,,Booster Energy,,,Choice Scarf,,,Safety Goggles,,,Life Orb,50,-,View,https://pokepast.es/ce58fefff9e26b2d,,,,,Ax: USA. No Twitter.,,Armarouge,Tatsugiri,Gholdengo,Iron Bundle,Dondozo,Indeedee-F,,Weakness Policy,Choice Scarf,Life Orb,Booster Energy,Leftovers,Safety Goggles,,Grass,Dragon,Steel,Ice,Steel,Fairy,Grass,Dragon,Steel,Ice,Steel,Fairy,0 Armarouge,1 Tatsugiri,7 Gholdengo,1 Iron Bundle,1 Dondozo,5 Indeedee-F,0 Armarouge,1 Dondozo,1 Iron Bundle,1 Tatsugiri,5 Indeedee-F,7 Gholdengo,Armarouge,Grass,Weakness Policy,Dondozo,Steel,Leftovers,Iron Bundle,Ice,Booster Energy,Tatsugiri,Dragon,Choice Scarf,Indeedee-F,Fairy,Safety Goggles,Gholdengo,Steel,Life Orb,,,,,,,,,Armarouge,Dondozo,Iron Bundle,Tatsugiri,Indeedee-F,Gholdengo,,"Armarouge, Tatsugiri, Gholdengo, Iron Bundle, Dondozo, Indeedee-F (Indeedee-Female)",,Tyler Alexander,205,Luca Paz,6,David Kubiak,247,Ben Larson,55,Darius Lamonte,43,Giovanni Cischke,33,Emily Golub,93,Adrian Connor,177,Logan Allen,131,Lorenzo Arce,73
57,#57,,7 - 3,7,3,USA,,Andrew Michalowski,ANDREW MICHALOWSKI,,,Drewby,Drewby_39,Drewby_39,https://twitter.com/Drewby_39,,,Assault Vest,,,Rocky Helmet,,,Booster Energy,,,Sitrus Berry,,,Covert Cloak,,,Light Clay,50,-,View,https://pokepast.es/031823027df10f4f,,,https://twitter.com/Drewby_39/status/1622082338149523457,,Rental Code: 56MSL7,,Amoonguss,Gholdengo,Sandy Shocks,Iron Hands,Grimmsnarl,Arcanine,,Rocky Helmet,Covert Cloak,Booster Energy,Sitrus Berry,Light Clay,Assault Vest,,Water,Water,Grass,Grass,Ghost,Grass,Water,Water,Grass,Grass,Ghost,Grass,2 Amoonguss,7 Gholdengo,3 Sandy Shocks,4 Iron Hands,8 Grimmsnarl,0 Arcanine,0 Arcanine,2 Amoonguss,3 Sandy Shocks,4 Iron Hands,7 Gholdengo,8 Grimmsnarl,Arcanine,Grass,Assault Vest,Amoonguss,Water,Rocky Helmet,Sandy Shocks,Grass,Booster Energy,Iron Hands,Grass,Sitrus Berry,Gholdengo,Water,Covert Cloak,Grimmsnarl,Ghost,Light Clay,,,,,,,,,Arcanine,Amoonguss,Sandy Shocks,Iron Hands,Gholdengo,Grimmsnarl,,"Amoonguss, Gholdengo, Sandy Shocks, Iron Hands, Grimmsnarl, Arcanine",,Kenneth Winter,274,Patrick Donegan,87,Ricky Martinez,115,Nick Harper,167,Matthew Bopp,86,Raghav Malaviya,52,Yotam Cohen,13,Robert Bosch,75,Matthew Busch,121,Martin Dillon,38
58,#58,,7 - 3,7,3,USA,,Aaron Traylor,Aaron Traylor,,,Traylor Moon,TBFUnreality,TBFUnreality,https://twitter.com/TBFUnreality,,,Safety Goggles,,,Charcoal,,,Loaded Dice,,,Sitrus Berry,,,Psychic Seed,,,Covert Cloak,50,-,View,https://pokepast.es/041f68b537b5ac44,,,,Stream Round 3A (W),,,Hatterene,Armarouge,Indeedee-F,Brute Bonnet,Iron Hands,Torkoal,,Covert Cloak,Safety Goggles,Psychic Seed,Loaded Dice,Sitrus Berry,Charcoal,,Water,Dark,Grass,Water,Grass,Grass,Water,Dark,Grass,Water,Grass,Grass,8 Hatterene,0 Armarouge,5 Indeedee-F,2 Brute Bonnet,4 Iron Hands,0 Torkoal,0 Armarouge,0 Torkoal,2 Brute Bonnet,4 Iron Hands,5 Indeedee-F,8 Hatterene,Armarouge,Dark,Safety Goggles,Torkoal,Grass,Charcoal,Brute Bonnet,Water,Loaded Dice,Iron Hands,Grass,Sitrus Berry,Indeedee-F,Grass,Psychic Seed,Hatterene,Water,Covert Cloak,,,,,,,,,Armarouge,Torkoal,Brute Bonnet,Iron Hands,Indeedee-F,Hatterene,,"Hatterene, Armarouge, Indeedee-F (Indeedee-Female), Brute Bonnet, Iron Hands, Torkoal",,Robert Rimmer,99,Juan Aquino,155,Brady Smith,3,Dawei Si,49,ALEX UNDERHILL,7,Anders Nordstrom,66,Kevin Bisping,43,Allan Martinez,9,Cade Bowles,45,Jesse Romolo,58
59,#59,,7 - 3,7,3,USA,,Angel Miranda,Angel Miranda,,,❤️Misaka❤️,AngelJMiranda,AngelJMiranda,https://twitter.com/AngelJMiranda,,,Safety Goggles,,,Booster Energy,,,Sitrus Berry,,,Clear Amulet,,,Leftovers,,,Focus Sash,50,-,View,https://pokepast.es/09c8238589be9945,,,,Stream Round 3B (W),,,Flutter Mane,Iron Bundle,Gothitelle,Arcanine,Iron Hands,Amoonguss,,Focus Sash,Booster Energy,Leftovers,Safety Goggles,Clear Amulet,Sitrus Berry,,Ghost,Water,Steel,Dark,Fire,Water,Ghost,Water,Steel,Dark,Fire,Water,8 Flutter Mane,1 Iron Bundle,6 Gothitelle,0 Arcanine,4 Iron Hands,2 Amoonguss,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Iron Hands,6 Gothitelle,8 Flutter Mane,Arcanine,Dark,Safety Goggles,Iron Bundle,Water,Booster Energy,Amoonguss,Water,Sitrus Berry,Iron Hands,Fire,Clear Amulet,Gothitelle,Steel,Leftovers,Flutter Mane,Ghost,Focus Sash,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Iron Hands,Gothitelle,Flutter Mane,,"Flutter Mane, Iron Bundle, Gothitelle, Arcanine, Iron Hands, Amoonguss",,Mohammed Faizan,43,Rhydar Okula,184,Carson Confer,42,Ben Grissmer,39,David Early,85,Max Carter,122,William Cadzow,65,Luke Alkire,30,Olivia Moledzki,87,Karan Samtani,37
60,#60,,7 - 3,7,3,USA,,Ben Grissmer,Ben Grissmer,,,chef,chefVGC,chefVGC,https://twitter.com/chefVGC,,,Life Orb,,,Room Service,,,Sitrus Berry,,,Psychic Seed,,,Safety Goggles,,,Booster Energy,50,-,View,https://pokepast.es/07c65acc9fb6a194,,,,,,,Amoonguss,Armarouge,Iron Hands,Roaring Moon,Maushold,Indeedee-F,,Room Service,Life Orb,Sitrus Berry,Booster Energy,Safety Goggles,Psychic Seed,,Dark,Grass,Grass,Flying,Ghost,Fairy,Dark,Grass,Grass,Flying,Ghost,Fairy,2 Amoonguss,0 Armarouge,4 Iron Hands,9 Roaring Moon,5 Maushold,5 Indeedee-F,0 Armarouge,2 Amoonguss,4 Iron Hands,5 Indeedee-F,5 Maushold,9 Roaring Moon,Armarouge,Grass,Life Orb,Amoonguss,Dark,Room Service,Iron Hands,Grass,Sitrus Berry,Indeedee-F,Fairy,Psychic Seed,Maushold,Ghost,Safety Goggles,Roaring Moon,Flying,Booster Energy,,,,,,,,,Armarouge,Amoonguss,Iron Hands,Indeedee-F,Maushold,Roaring Moon,,"Amoonguss, Armarouge, Iron Hands, Roaring Moon, Maushold, Indeedee-F (Indeedee-Female)",,Warren Arnold,271,Gabrielle Harbaugh,134,Adrian Mircea,5,Angel Miranda,39,ARSAL PURI,20,Dawei Si,20,Nate Engstrom,10,Carson Confer,17,Andrew Engelman,49,Anton Galkin,23
61,#61,,7 - 3,7,3,USA,,Luis Diaz,Luis Diaz,,,Luis,No Twitter,No Twitter,https://twitter.com/No Twitter,,,Safety Goggles,,,Focus Sash,,,Wiki Berry,,,Leftovers,,,Sitrus Berry,,,Booster Energy,50,-,View,https://pokepast.es/79d0bad239aa81a5,,,,,"Ax: USA. Twitter unknown, but he got top 8 at a previous Orlando Regionals.",,Iron Bundle,Garganacl,Iron Hands,Amoonguss,Arcanine,Roaring Moon,,Focus Sash,Leftovers,Sitrus Berry,Wiki Berry,Safety Goggles,Booster Energy,,Ghost,Ghost,Grass,Dark,Dark,Flying,Ghost,Ghost,Grass,Dark,Dark,Flying,1 Iron Bundle,4 Garganacl,4 Iron Hands,2 Amoonguss,0 Arcanine,9 Roaring Moon,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Garganacl,4 Iron Hands,9 Roaring Moon,Arcanine,Dark,Safety Goggles,Iron Bundle,Ghost,Focus Sash,Amoonguss,Dark,Wiki Berry,Garganacl,Ghost,Leftovers,Iron Hands,Grass,Sitrus Berry,Roaring Moon,Flying,Booster Energy,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Garganacl,Iron Hands,Roaring Moon,,"Iron Bundle, Garganacl, Iron Hands, Amoonguss, Arcanine, Roaring Moon",,Kevin Li,29,Irving Johnson,122,Michael Spinetta-McCarthy,9,Cameron Kicak,76,Mohammed Faizan,39,Justin Frys,119,Rhydar Okula,95,Justin Stipe,31,James Grigsby,133,Will Adorno,43
